Sample_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15
TCGA-A3-3387-01,-0.14371556490641318,-0.5521312086226545,-0.31970885080378564,0.8953220170382512,-0.6242036783577837,-0.22949918425923735,1.109194234422413,-0.30889636561742456,0.21884936343170783,0.1938611802464398,0.17994827293615687,-0.28323333737346945,0.8306709655669969,-0.13059514346459852,0.17377230856816692
TCGA-B0-4811-01,0.6842717736798214,1.5619563908590324,-1.1105682803070618,1.2124926958107916,-0.7986460013582,-0.07505302645769665,0.6777344084341497,-0.54062902846434,-0.08548949528859445,-0.07253953863444171,-0.6355314747854981,-0.04195138363024405,0.25034913945199055,0.9807272600936001,-0.8941901194258947
TCGA-B0-5102-01,1.2401123346912852,1.5865046081288632,-0.5446305681701928,-2.125539264636469,0.666717678926126,-0.1188998699246589,-0.28477715226353423,0.4356619681529361,-0.20685449436677344,0.3219348487970171,-0.26472618526681946,0.2128534688274102,0.006544535593074529,-1.7319235568847318,-1.120999280267354
TCGA-BP-4762-01,-0.6867859570113417,-1.2425337219545618,0.149434182397277,2.7400278816574892,0.6428999959779067,-2.606539097785477,1.714958645759636,-2.796879734426394,0.8980553062997031,0.8242694066562507,-0.9924270955612994,0.5650228595096011,0.22624703932666648,3.271519615852958,1.804027595380344
TCGA-B0-4839-01,0.2271625078867286,-0.08364492120640292,-1.0603299101449302,0.7662777893689596,1.8910939254446566,1.4447966795727665,-0.14362748278740417,0.10338821712701174,0.13214578219251022,0.02429501176024385,-1.1772357952105448,-1.036827797244381,2.4204222283761547,5.899800110269244,1.3958692082343027
TCGA-B0-4818-01,0.5073084207592553,-0.62219813126018,-0.9091645691979329,1.0445047687906999,0.07563875116715074,-1.5568410474374306,-1.1004242024742668,-0.4754715918594629,-0.4387221643635162,0.28108405969717076,-0.25073648979749,0.45525468909645883,-0.9740792416535586,-0.17332907242184065,-0.47626919359810144
TCGA-CZ-5988-01,0.4212356479268936,0.22510472433776343,-0.605867580834044,-0.008227656633497848,0.5800686172426848,-0.18717980619991692,0.4110472365074389,-0.12828431993583578,0.151391543834452,0.21166776521777414,-0.07762646677173435,-0.059857737760958554,3.2160790384664186,-0.064886933783788,0.9074142007680608
TCGA-BP-5184-01,0.9804806596670305,0.8812542857637403,-0.7231363447791262,1.49711148874068,0.14025730207411263,-1.3997967263637467,0.6892982183028038,-0.4473596028704617,-0.030311799524058287,0.07127874575509423,-0.27602960855177133,-0.07384138054182406,-1.2971857909835542,-0.15666699019725175,0.07326974815768031
TCGA-CJ-4642-01,-1.1220603837456342,1.6879749491786105,2.0350032488618433,0.5534206500502559,0.5041067140379373,1.448585919641175,0.19058184013168636,6.01691809009278,0.8612526689018911,66.05839880340551,0.08779091050984504,1.6171790274758808,0.4288431965200234,2.4230475985164732,-0.4179046498207258
TCGA-CJ-4873-01,-1.4948625774596687,-4.269962186943789,0.9744674065000241,-1.4835480114029973,0.7263157440329929,2.049555424338331,2.1110960679414896,2.444600100027422,0.27754963853247083,-1.1194301047712076,-0.22816123071222805,-2.0616537119926304,-4.9332644954350675,0.11667115043297001,-0.24919001302080027
TCGA-BP-5182-01,-0.4222713875869977,-1.8345683275290534,0.015423208146366729,0.5265713865567301,-0.23087038938198895,-1.8181957224143086,0.045939851962441505,-0.31685948900355165,-0.07657125953779856,-0.0051286345728532665,-0.29383157651733044,0.0871291869765367,-0.3796795876064876,1.3172312659150258,0.662450728481815
TCGA-B0-4945-01,-0.23970894833663695,0.6998555350507331,0.5186128930950236,2.64233638540965,0.6866286138978658,-1.2009666631660711,0.878412804007487,0.9766861217231413,0.12693027424848885,0.24400729095969786,-0.34195159704755396,-0.11467407211316498,0.08642557291620766,-1.761976363730929,-0.5088250028886936
TCGA-6D-AA2E-01,-1.3263423654341955,-1.0277284749521636,1.6523377686786829,-0.19627273974412107,-0.3108293504397204,-2.673737217463245,0.22667710978132982,-0.23601804298995782,0.20773219028311055,-1.992145668447391,0.399257048293108,-0.1680537773422194,-0.490423572649754,0.13870858087838892,-1.153667369492571
TCGA-BP-4799-01,-2.165649670900939,-1.2361111328298728,0.6671444716409072,1.4781716660012476,-2.7085638980487015,2.878287936127585,0.2943273496812464,1.9312230552061658,-0.00634555037809139,-0.8232835742249874,-1.8682788143912348,1.1386341451230633,4.214221032476868,7.210998179821996,3.657249023067044
TCGA-AK-3436-01,1.100646665407045,1.9135437369780388,-0.1767888011218496,-0.9156310316745188,-0.2180242156049383,7.231977348804587,-0.17179446683057384,-2.6087997577513753,-0.15577354924531495,0.6190692987153658,-1.5184380019612231,-1.5392173917123781,-0.4400731770161973,5.135136230805038,2.853366213121994
TCGA-B0-4847-01,0.05253888215671723,-1.8617955541633424,-0.8846018464374433,-2.7295881395952724,-0.48358554178469654,-1.2509838945211749,0.8203407783179518,0.9327814335949757,-0.010284072557168178,-0.3242403988016633,-0.031845601737872424,-0.2006518904077764,-1.097223539258489,0.4248926171024224,-1.0958323781496702
TCGA-BP-4353-01,-0.49834073354244746,-1.344290645196421,-0.013459885734841434,1.6640247288889785,0.38972988570883915,1.704155560921563,0.715542692308695,0.14731673116588032,0.11705920123575184,-0.4582480130829279,-0.8509965544579402,-0.5653950600754857,-4.746144134658874,1.376848040301328,2.647705271580976
